unit,fair,generous,honest,powerful,friendly,culture,resolved,organized,intelligent,ranking,treat,condition
934,4,NA,2,NA,3,NA,NA,NA,1,4-2-3---1,1,Individuals
935,NA,NA,2,NA,1,NA,NA,NA,NA,--2-1----,2,Countries
936,NA,NA,NA,2,NA,NA,NA,1,NA,---2---1-,2,Countries
937,2,NA,1,NA,NA,NA,NA,3,NA,2-1----3-,2,Countries
938,2,NA,1,NA,NA,3,NA,NA,NA,2-1--3---,1,Individuals
939,2,NA,4,6,NA,NA,5,3,1,2-46--531,1,Individuals
940,3,NA,4,1,NA,NA,5,NA,2,3-41--5-2,2,Countries
941,1,NA,2,NA,NA,NA,3,NA,NA,1-2---3--,2,Countries
942,3,NA,2,NA,NA,NA,NA,NA,1,3-2-----1,1,Individuals
943,3,4,1,NA,2,6,NA,5,NA,341-26-5-,1,Individuals
944,1,NA,NA,NA,NA,NA,NA,2,NA,1------2-,2,Countries
945,2,1,NA,NA,NA,NA,NA,NA,NA,21-------,1,Individuals
946,NA,NA,1,NA,NA,2,NA,NA,NA,--1--2---,2,Countries
947,1,NA,NA,NA,2,NA,NA,NA,NA,1---2----,2,Countries
948,5,NA,4,NA,NA,NA,2,3,1,5-4---231,1,Individuals
949,2,NA,4,NA,5,NA,3,1,6,2-4-5-316,2,Countries
950,4,7,2,NA,6,NA,3,5,1,472-6-351,1,Individuals
951,NA,NA,1,2,NA,NA,NA,3,NA,--12---3-,2,Countries
952,3,NA,NA,NA,1,NA,NA,2,NA,3---1--2-,1,Individuals
953,3,4,2,NA,1,NA,NA,NA,NA,342-1----,2,Countries
954,2,NA,NA,NA,NA,1,NA,NA,NA,2----1---,1,Individuals
955,2,NA,NA,NA,1,NA,4,3,NA,2---1-43-,2,Countries
956,1,NA,2,NA,3,NA,NA,NA,NA,1-2-3----,1,Individuals
957,NA,NA,2,NA,1,NA,NA,NA,NA,--2-1----,1,Individuals
958,1,3,2,NA,7,8,6,5,4,132-78654,2,Countries
959,1,2,NA,NA,NA,4,NA,NA,3,12---4--3,2,Countries
960,1,NA,2,NA,NA,NA,NA,3,NA,1-2----3-,2,Countries
961,NA,NA,NA,2,NA,1,NA,NA,NA,---2-1---,1,Individuals
962,1,9,8,6,5,7,2,4,3,198657243,2,Countries
963,2,NA,1,NA,NA,NA,NA,3,NA,2-1----3-,2,Countries
964,1,NA,2,NA,NA,NA,NA,NA,NA,1-2------,2,Countries
965,NA,NA,NA,NA,1,3,NA,2,NA,----13-2-,1,Individuals
966,3,5,2,NA,NA,4,NA,NA,1,352--4--1,2,Countries
967,NA,NA,NA,NA,NA,2,1,NA,NA,-----21--,2,Countries
968,2,NA,1,NA,NA,NA,3,NA,NA,2-1---3--,2,Countries
969,2,NA,3,5,4,NA,NA,1,NA,2-354--1-,2,Countries
970,2,NA,1,NA,NA,NA,NA,3,NA,2-1----3-,2,Countries
971,NA,NA,NA,2,NA,NA,1,NA,NA,---2--1--,1,Individuals
972,2,9,1,8,5,3,7,4,6,291853746,1,Individuals
973,NA,NA,NA,1,NA,NA,NA,NA,2,---1----2,2,Countries
974,1,NA,3,NA,NA,NA,2,NA,4,1-3---2-4,2,Countries
975,2,NA,1,NA,NA,NA,NA,3,NA,2-1----3-,1,Individuals
976,1,NA,NA,NA,NA,NA,NA,2,3,1------23,2,Countries
977,1,NA,2,NA,4,NA,NA,NA,3,1-2-4---3,1,Individuals
978,NA,NA,NA,1,NA,2,NA,NA,NA,---1-2---,1,Individuals
979,3,NA,2,NA,NA,NA,NA,NA,1,3-2-----1,1,Individuals
980,1,NA,3,NA,4,2,NA,NA,NA,1-3-42---,1,Individuals
981,4,5,1,NA,3,NA,NA,NA,2,451-3---2,1,Individuals
982,7,6,2,9,1,8,5,4,3,762918543,1,Individuals
983,NA,NA,NA,2,NA,NA,1,NA,NA,---2--1--,2,Countries
984,1,NA,3,NA,NA,NA,NA,4,2,1-3----42,1,Individuals
985,1,NA,2,NA,4,NA,NA,3,NA,1-2-4--3-,2,Countries
986,1,NA,5,3,NA,2,4,NA,NA,1-53-24--,2,Countries
987,NA,1,4,NA,2,3,NA,NA,NA,-14-23---,1,Individuals
988,1,NA,2,NA,3,NA,NA,NA,NA,1-2-3----,1,Individuals
989,2,1,7,NA,6,NA,4,3,5,217-6-435,2,Countries
990,2,NA,1,NA,NA,NA,NA,NA,NA,2-1------,1,Individuals
991,1,NA,3,NA,2,NA,NA,NA,4,1-3-2---4,2,Countries
992,NA,1,NA,NA,2,NA,NA,3,NA,-1--2--3-,1,Individuals
993,8,6,2,NA,7,3,5,1,4,862-73514,2,Countries
994,2,NA,3,NA,NA,1,NA,NA,NA,2-3--1---,1,Individuals
995,NA,NA,4,2,NA,NA,3,5,1,--42--351,1,Individuals
996,1,NA,3,NA,2,NA,NA,NA,NA,1-3-2----,1,Individuals
997,1,NA,NA,3,NA,2,4,NA,NA,1--3-24--,2,Countries
998,1,NA,4,3,NA,NA,5,2,NA,1-43--52-,2,Countries
999,3,NA,1,2,5,NA,7,4,6,3-125-746,2,Countries
1000,2,NA,3,NA,NA,NA,4,NA,1,2-3---4-1,1,Individuals
1001,NA,NA,NA,2,NA,NA,NA,1,NA,---2---1-,2,Countries
1002,NA,NA,4,NA,5,NA,3,2,1,--4-5-321,1,Individuals
1003,4,NA,1,NA,2,5,NA,NA,3,4-1-25--3,1,Individuals
1004,2,NA,3,NA,1,NA,5,4,NA,2-3-1-54-,1,Individuals
1005,7,NA,3,6,5,NA,1,4,2,7-365-142,1,Individuals
1006,NA,NA,NA,NA,1,2,NA,3,NA,----12-3-,1,Individuals
1007,4,NA,5,3,NA,NA,2,NA,1,4-53--2-1,2,Countries
1008,NA,2,1,NA,4,NA,NA,NA,3,-21-4---3,1,Individuals
1009,2,9,3,8,7,6,5,1,4,293876514,2,Countries
1010,5,4,1,NA,2,NA,NA,6,3,541-2--63,1,Individuals
1011,NA,NA,2,NA,NA,NA,NA,NA,1,--2-----1,2,Countries
1012,NA,NA,NA,1,NA,NA,NA,2,NA,---1---2-,1,Individuals
1013,2,3,1,NA,NA,NA,NA,NA,4,231-----4,1,Individuals
1014,6,3,5,NA,2,NA,NA,4,1,635-2--41,1,Individuals
1015,1,6,5,7,3,9,8,2,4,165739824,2,Countries
1016,2,NA,NA,NA,NA,NA,NA,NA,1,2-------1,1,Individuals
1017,7,NA,2,3,6,NA,5,4,1,7-236-541,2,Countries
1018,NA,NA,NA,NA,2,NA,1,NA,NA,----2-1--,1,Individuals
1019,1,NA,NA,3,2,NA,NA,NA,NA,1--32----,2,Countries
1020,NA,NA,3,2,1,NA,NA,4,NA,--321--4-,2,Countries
1021,6,5,3,4,7,8,9,1,2,653478912,2,Countries
1022,NA,NA,3,NA,1,2,NA,NA,4,--3-12--4,1,Individuals
1023,NA,NA,NA,4,NA,3,2,NA,1,---4-32-1,1,Individuals
1024,3,NA,NA,NA,NA,NA,4,2,1,3-----421,1,Individuals
1025,4,NA,1,6,2,NA,3,5,NA,4-162-35-,1,Individuals
1026,3,NA,2,NA,NA,NA,4,NA,1,3-2---4-1,1,Individuals
1027,2,NA,NA,1,NA,NA,NA,NA,3,2--1----3,2,Countries
1028,4,5,1,NA,2,NA,NA,NA,3,451-2---3,1,Individuals
1029,2,NA,1,NA,3,NA,NA,NA,NA,2-1-3----,2,Countries
1030,3,NA,4,5,NA,NA,2,NA,1,3-45--2-1,2,Countries
1031,2,3,4,NA,1,5,NA,NA,NA,234-15---,2,Countries
1032,2,NA,1,3,4,NA,NA,NA,NA,2-134----,2,Countries
1033,1,NA,2,NA,3,NA,NA,4,NA,1-2-3--4-,2,Countries
1034,1,NA,2,NA,3,NA,NA,NA,4,1-2-3---4,2,Countries
1035,NA,NA,3,5,4,NA,6,1,2,--354-612,1,Individuals
1036,5,3,8,2,4,NA,1,6,7,53824-167,2,Countries
1037,NA,NA,NA,1,2,NA,NA,NA,NA,---12----,2,Countries
1038,1,3,2,9,4,6,8,7,5,132946875,1,Individuals
1039,6,7,1,NA,2,NA,3,5,4,671-2-354,1,Individuals
1040,NA,NA,2,NA,1,NA,NA,NA,NA,--2-1----,1,Individuals
1041,4,NA,1,NA,3,5,2,NA,NA,4-1-352--,2,Countries
