unit,civil,uncivil,intolerant,threatening,ranking,treat,treatment,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1028,4,1,2,3,4123,0,control,Democrat,uncivil,Male,Born 1991 or later,White,College,A few times a month,70,55,Leaning Democrat
1029,4,1,3,2,4132,5,threatening (new),Independent,uncivil,Male,Born 1975-1990,Hispanic,College,Every day,60,70,Independent
1030,2,3,1,4,2314,2,uncivil,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day,0,0,Leaning Democrat
1031,4,2,1,3,4213,3,intolerant,Independent,intolerant,Female,Born 1975-1990,Race other/multiple,College,Every day,100,100,Independent
1032,4,3,2,1,4321,5,threatening (new),Republican,threatening,Female,Born 1991 or later,Hispanic,High school graduate,Every day,72,73,Leaning Republican
1033,4,1,3,2,4132,2,uncivil,Democrat,uncivil,Female,Born 1991 or later,White,College,Every day,51,51,Democrat
1034,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Other,Born 1991 or later,Black,High school graduate,Every day,0,0,Leaning Democrat
1035,4,1,2,3,4123,0,control,Democrat,uncivil,Male,Born 1991 or later,Race other/multiple,College,Every day,92,68,Strong Democrat
1036,4,3,2,1,4321,4,threatening,Democrat,threatening,Female,Born 1975-1990,White,College,Every day,81,81,Strong Democrat
1037,4,1,3,2,4132,5,threatening (new),Democrat,uncivil,Male,Born 1991 or later,Race other/multiple,College,Every day,37,64,Democrat
1038,4,2,3,1,4231,4,threatening,Republican,threatening,Female,Born 1959-1974,White,College,Less often,77,100,Republican
1039,4,2,1,3,4213,0,control,Republican,intolerant,Male,Born 1991 or later,White,College,Every day,56,52,Republican
1040,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Female,Born 1959-1974,White,College,Every day,0,0,Democrat
1041,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day,30,100,Leaning Democrat
1042,3,4,1,2,3412,3,intolerant,Independent,intolerant,Male,Born 1975-1990,Race other/multiple,High school graduate,At least once a week but not every day,54,47,Independent
1043,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Male,Born 1991 or later,Race other/multiple,College,Every day,0,0,Strong Democrat
1044,4,1,2,3,4123,2,uncivil,Republican,uncivil,Male,Born 1991 or later,White,College,At least once a week but not every day,77,79,Leaning Republican
1045,4,1,2,3,4123,5,threatening (new),Republican,uncivil,Male,Born 1991 or later,White,College,At least once a week but not every day,72,86,Leaning Republican
1046,4,2,3,1,4231,0,control,Democrat,threatening,Male,Born 1975-1990,Black,College,Every day,57,46,Leaning Democrat
1047,3,2,1,4,3214,3,intolerant,Republican,intolerant,Male,Born 1975-1990,White,College,Less often,20,75,Leaning Republican
1048,1,4,3,2,1432,0,control,Democrat,civil,Male,Born 1991 or later,Race other/multiple,College,Every day,73,65,Democrat
1049,4,1,3,2,4132,4,threatening,Democrat,uncivil,Male,Born 1991 or later,Hispanic,"Professional degree,College",Every day,100,0,Leaning Democrat
1050,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,Every day,15,30,Democrat
1051,4,3,2,1,4321,5,threatening (new),Independent,threatening,Male,Born 1975-1990,White,PhD,At least once a week but not every day,90,100,Independent
1052,3,2,4,1,3241,4,threatening,Republican,threatening,Male,Born 1991 or later,Black,College,Every day,33,37,Strong Republican
1053,4,1,2,3,4123,2,uncivil,Republican,uncivil,Male,Born 1959-1974,Black,Postgraduate (e.g. Masters),Every day,0,0,Leaning Republican
1054,1,4,2,3,1423,1,non-group-related control,Democrat,civil,Male,Born 1991 or later,Black,Postgraduate (e.g. Masters),At least once a week but not every day,35,41,Democrat
1055,4,2,1,3,4213,3,intolerant,Republican,intolerant,Male,Born 1991 or later,White,College,Every day,0,0,Leaning Republican
1056,3,1,2,4,3124,2,uncivil,Democrat,uncivil,Male,Born 1991 or later,White,College,At least once a week but not every day,27,92,Leaning Democrat
1057,4,2,1,3,4213,1,non-group-related control,Democrat,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day,0,23,Leaning Democrat
1058,4,2,3,1,4231,4,threatening,Republican,threatening,Male,Born 1959-1974,White,"Professional degree,College",At least once a week but not every day,72,70,Republican
1059,4,2,1,3,4213,5,threatening (new),Democrat,intolerant,Male,Born 1991 or later,Hispanic,College,Every day,20,61,Democrat
1060,1,4,3,2,1432,0,control,Democrat,civil,Male,Born 1991 or later,Race other/multiple,College,Every day,24,23,Leaning Democrat
1061,1,2,3,4,1234,5,threatening (new),Independent,civil,Male,Born 1975-1990,Black,Postgraduate (e.g. Masters),At least once a week but not every day,39,39,Independent
1062,4,2,1,3,4213,2,uncivil,Republican,intolerant,Male,Born 1943-1958,White,Postgraduate (e.g. Masters),Less often,85,100,Republican
1063,1,3,2,4,1324,0,control,Republican,civil,Male,Born 1959-1974,Black,College,Every day,0,0,Republican
1064,4,3,1,2,4312,4,threatening,Republican,intolerant,Male,Born 1991 or later,White,College,Less often,82,70,Republican
1065,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day,46,40,Leaning Democrat
1066,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Male,Born 1959-1974,White,College,At least once a week but not every day,0,0,Leaning Democrat
1067,3,2,1,4,3214,0,control,Independent,intolerant,Male,Born 1991 or later,White,College,At least once a week but not every day,58,69,Independent
1068,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Male,Born 1959-1974,Race other/multiple,Postgraduate (e.g. Masters),Every day,55,90,Democrat
