unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,age,female
1901,1,NA,2,3,NA,NA,1-23--,5,43,2
1902,1,NA,NA,NA,NA,NA,1-----,5,32,1
1903,1,NA,2,3,NA,NA,1-23--,2,44,2
1904,1,NA,2,3,NA,NA,1-23--,3,46,2
1905,1,NA,NA,NA,NA,NA,1-----,3,31,1
1906,1,NA,2,NA,NA,NA,1-2---,1,38,3
1907,1,NA,2,3,NA,NA,1-23--,5,53,2
1908,1,NA,2,3,NA,NA,1-23--,0,46,2
1909,1,NA,2,3,NA,NA,1-23--,5,52,2
1910,1,NA,2,3,NA,NA,1-23--,5,46,2
1911,1,NA,NA,NA,NA,NA,1-----,6,51,2
1912,NA,1,NA,NA,3,2,-1--32,0,29,3
1913,1,NA,NA,NA,NA,NA,1-----,1,56,4
1914,1,NA,2,3,NA,NA,1-23--,4,60,1
1915,1,NA,NA,NA,NA,NA,1-----,7,44,4
1916,1,NA,NA,NA,NA,NA,1-----,6,39,4
1917,1,NA,2,3,NA,NA,1-23--,5,25,3
1918,NA,1,NA,NA,2,3,-1--23,7,60,1
1919,NA,1,NA,NA,3,2,-1--32,7,31,5
1920,NA,1,NA,NA,2,3,-1--23,6,28,3
1921,NA,NA,NA,NA,NA,NA,------,1,46,4
1922,1,NA,2,NA,NA,NA,1-2---,5,48,2
1923,NA,NA,NA,NA,NA,NA,------,1,36,1
1924,NA,NA,NA,NA,NA,NA,------,7,47,3
1925,1,NA,NA,NA,NA,NA,1-----,3,29,3
1926,NA,NA,NA,NA,NA,NA,------,6,44,3
1927,1,NA,2,3,NA,NA,1-23--,1,37,2
1928,1,NA,2,3,NA,NA,1-23--,6,53,2
1929,1,NA,2,NA,NA,NA,1-2---,5,43,3
1930,1,NA,2,3,NA,NA,1-23--,1,34,1
1931,NA,1,NA,NA,3,2,-1--32,2,39,4
1932,1,NA,2,NA,NA,NA,1-2---,4,59,1
1933,1,NA,2,NA,NA,NA,1-2---,2,54,1
1934,1,NA,2,NA,NA,NA,1-2---,0,59,1
1935,NA,1,NA,NA,3,2,-1--32,6,46,5
1936,1,NA,2,3,NA,NA,1-23--,7,59,2
1937,1,NA,2,NA,NA,NA,1-2---,6,37,5
1938,NA,1,NA,NA,NA,NA,-1----,7,24,3
1939,NA,1,NA,NA,3,2,-1--32,5,47,4
1940,NA,1,NA,NA,2,3,-1--23,6,35,3
1941,1,NA,NA,NA,NA,NA,1-----,6,50,3
1942,1,NA,2,3,NA,NA,1-23--,3,31,2
1943,1,NA,2,3,NA,NA,1-23--,3,47,2
1944,1,NA,2,3,NA,NA,1-23--,0,32,2
1945,1,NA,2,3,NA,NA,1-23--,0,49,3
1946,NA,NA,NA,NA,NA,NA,------,4,51,1
1947,1,NA,2,3,NA,NA,1-23--,6,35,2
1948,NA,NA,NA,NA,NA,NA,------,2,65,2
1949,NA,1,NA,NA,NA,2,-1---2,4,22,3
1950,NA,1,NA,NA,3,2,-1--32,6,42,2
1951,NA,1,NA,NA,NA,2,-1---2,7,56,2
1952,NA,1,NA,NA,NA,2,-1---2,3,27,5
