unit,budgetfunding,teacherquality,learninggains,achievementgaps,commoncore,ranking,treat,teacher,avghispgap,avgblkgap
275,3,1,2,5,4,31254,1,0,9.35000228881836,22.149999618530273
276,5,3,4,NA,NA,534--,0,1,14.44999885559082,NA
277,1,2,3,5,4,12354,0,0,18.500001907348633,11.200002670288086
278,3,5,4,2,1,35421,0,1,7.80000114440918,NA
279,NA,NA,NA,5,4,---54,0,0,NA,NA
280,3,4,5,1,2,34512,1,1,14.400001525878906,14.649999618530272
281,1,3,5,4,2,13542,0,0,8.55000114440918,15.55000114440918
282,NA,2,4,NA,3,-24-3,0,0,7.599998474121094,15.25
283,2,5,4,1,3,25413,1,0,48.30000305175781,NA
284,5,4,1,3,2,54132,0,0,23.849998474121097,23.599998474121097
285,4,3,1,2,5,43125,1,0,17.10000228881836,27.55000114440918
286,4,1,5,2,3,41523,1,0,29.749998092651367,15
287,1,5,4,2,3,15423,1,0,16.799999237060547,NA
288,1,2,4,5,3,12453,0,0,6.049999237060547,10
289,1,3,4,5,2,13452,1,0,26.600000381469727,18.750001907348633
290,1,5,3,4,2,15342,0,0,13.250001907348633,7.250003814697266
291,4,1,3,2,5,41325,1,0,25.750001907348633,7.200002670288086
292,1,2,5,4,3,12543,1,1,18.39999771118164,14.25
293,5,4,1,2,3,54123,0,0,23.849998474121097,23.599998474121097
294,5,NA,NA,NA,NA,5----,1,0,14.30000114440918,25.899999618530273
295,2,5,3,4,1,25341,1,0,20.250001907348633,16.650001525878906
296,1,5,4,3,2,15432,NA,0,14.400001525878906,12.250003814697266
297,5,4,1,3,2,54132,1,0,37.30000305175781,NA
298,1,3,2,4,5,13245,1,1,18.85000228881836,15.400001525878906
299,4,3,1,2,5,43125,1,1,25.20000267028809,8.400001525878906
300,3,2,1,4,5,32145,0,0,29.250001907348633,23.750003814697266
301,1,4,5,2,3,14523,0,0,19,18.599998474121097
302,1,3,5,2,4,13524,0,1,12.64999771118164,20.19999885559082
303,5,3,1,2,4,53124,1,0,24.35000228881836,NA
304,3,5,2,4,1,35241,0,0,13.599998474121094,14.299999237060549
305,1,2,3,5,4,12354,0,0,23.600000381469727,28.5
306,1,4,2,3,5,14235,0,0,16.650001525878906,19.80000114440918
307,4,3,1,5,2,43152,1,1,31.44999885559082,5.299999237060547
308,5,3,4,2,1,53421,1,0,8.55000114440918,15.55000114440918
309,1,3,2,5,4,13254,0,0,14.799999237060549,NA
310,NA,NA,NA,1,NA,---1-,0,0,22.45000267028809,18.300003051757813
311,3,5,4,1,2,35412,0,1,10.949996948242188,13.75
312,5,4,3,1,2,54312,0,0,32.79999542236328,48.75
313,2,3,5,4,1,23541,1,0,35.900001525878906,28.399999618530273
314,5,NA,NA,3,4,5--34,0,0,14.799999237060549,NA
315,NA,NA,NA,NA,NA,-----,0,NA,13.5,17.5
316,1,3,2,5,4,13254,0,0,20.55000114440918,20.850000381469727
317,5,3,4,2,1,53421,1,0,29.250001907348633,23.750003814697266
318,1,5,2,3,4,15234,1,0,9.850000381469728,11.44999885559082
319,4,1,2,3,5,41235,1,1,24,21.299999237060547
320,NA,NA,1,NA,NA,--1--,0,0,25.89999771118164,24.699996948242188
