unit,adachi,aliotopier,avalos,chiu,dufty,hall,herrera,lee,rees,ting,yee,ranking,treat,race,gender,party,age,educ,income,ideo,interest,retro
101,NA,NA,NA,2,NA,NA,3,1,NA,NA,NA,---2--31---,1,1,1,2,4,3,5,3,1,3
102,NA,NA,NA,NA,NA,NA,3,1,NA,NA,2,------31--2,2,3,1,2,3,1,1,3,2,2
103,NA,NA,NA,NA,NA,NA,2,1,NA,NA,3,------21--3,4,1,1,3,2,4,2,3,2,3
104,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,--2---1----,3,5,1,2,4,4,1,4,3,3
105,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,--12-------,1,NA,99,NA,99,99,99,99,99,99
106,1,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1-2-----3--,3,1,1,4,4,4,3,1,1,1
107,NA,NA,NA,NA,2,NA,3,1,NA,NA,NA,----2-31---,0,2,1,2,2,4,5,1,1,2
108,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,--1---23---,2,1,2,2,2,4,6,2,2,2
109,NA,3,NA,NA,NA,NA,NA,1,NA,NA,2,-3-----1--2,4,NA,99,NA,99,99,99,99,99,99
110,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,2,4,1,2,3,4,2,2,1,3
111,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12---------,1,1,2,2,4,4,2,2,2,2
112,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,0,2,1,2,2,3,1,6,99,2
113,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,0,4,1,2,2,3,4,2,2,3
114,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,--13--2----,4,1,2,2,4,99,2,1,1,2
115,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,----2--3---,3,3,1,2,1,3,1,2,1,3
116,NA,NA,1,NA,2,NA,NA,NA,3,NA,NA,--1-2---3--,3,3,1,2,2,4,6,2,2,2
117,NA,1,NA,NA,2,NA,NA,NA,3,NA,NA,-1--2---3--,0,1,2,2,2,4,6,6,2,3
118,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2-1--------,3,2,2,NA,2,3,2,1,2,4
119,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,--12--3----,1,1,1,4,2,4,2,1,2,3
120,NA,NA,2,NA,NA,NA,3,1,NA,NA,NA,--2---31---,2,1,2,2,3,4,6,3,1,1
121,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,--132------,4,1,1,3,3,3,6,1,2,2
122,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3-12-------,4,1,1,4,2,4,3,1,2,3
123,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,--12--3----,0,1,1,2,1,3,4,2,3,2
124,NA,NA,1,NA,2,NA,3,NA,NA,NA,NA,--1-2-3----,2,1,1,2,1,3,2,1,2,3
125,NA,NA,NA,NA,NA,NA,2,1,3,NA,NA,------213--,1,1,2,2,99,4,5,4,3,4
126,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,-----21----,3,NA,99,NA,99,99,99,99,99,99
127,NA,NA,NA,1,NA,NA,NA,3,NA,2,NA,---1---3-2-,0,4,1,1,4,4,4,6,2,4
128,NA,NA,NA,NA,NA,NA,3,NA,2,1,NA,------3-21-,1,1,1,2,2,1,1,5,2,4
129,NA,2,NA,3,NA,NA,NA,NA,1,NA,NA,-2-3----1--,2,1,2,2,2,3,6,4,3,3
130,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2-1-------3,4,2,1,2,3,2,1,1,1,3
131,NA,1,2,NA,NA,NA,3,NA,NA,NA,NA,-12---3----,1,1,1,2,3,1,1,5,2,3
132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,3,1,1,2,1,3,2,99,3,4
133,1,NA,NA,NA,NA,3,NA,NA,NA,NA,2,1----3----2,0,1,1,3,4,4,6,3,2,4
134,NA,NA,3,NA,NA,NA,1,NA,NA,NA,2,--3---1---2,2,NA,99,NA,99,99,99,99,99,99
135,NA,NA,NA,NA,2,NA,3,1,NA,NA,NA,----2-31---,3,1,1,4,2,4,2,4,3,3
