unit,indian,kashmiri,religion,occupation,ranking,treat,age,age_18_27,age_28_49,age_50_over,median_age,gender,gender_female,education,education_class12,education_cat_none,education_cat_class6,education_cat_class12,education_cat_ba,religion_sunni,religion_shia,religion_sikh,religion_hindu,main_earner,monthly_hhincome,hhincome_cat_not_5000,hhincome_cat_5000_15000,hhincome_cat_15000_more
1499,1,NA,NA,NA,1---,3,30,0,1,0,0,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
1500,1,NA,NA,NA,1---,0,54,0,0,1,1,male,0,No formal education,0,1,0,0,0,0,1,0,0,1,"2500-4,999",1,0,0
1501,4,NA,NA,NA,4---,3,57,0,0,1,1,male,0,No formal education,0,1,0,0,0,0,1,0,0,1,"10,000-14,999",0,1,0
1502,2,NA,NA,NA,2---,2,52,0,0,1,1,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"2500-4,999",1,0,0
1503,2,NA,NA,NA,2---,0,62,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
1504,1,NA,NA,NA,1---,2,36,0,1,0,1,male,0,Class 12,1,0,0,1,0,1,0,0,0,0,"20,000-29,999",0,0,1
1505,1,NA,NA,NA,1---,0,20,1,0,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,0,"2500-4,999",1,0,0
1506,1,NA,NA,NA,1---,4,37,0,1,0,1,female,1,Graduation (BA/BS etc.),1,0,0,0,1,0,1,0,0,0,"10,000-14,999",0,1,0
1507,1,NA,NA,NA,1---,2,60,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
1508,2,NA,NA,NA,2---,4,23,1,0,0,0,female,1,Class 9,0,0,1,0,0,0,1,0,0,0,"15,000-19,999",0,0,1
1509,1,NA,NA,NA,1---,0,40,0,1,0,1,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"2500-4,999",1,0,0
1510,2,NA,NA,NA,2---,0,35,0,1,0,0,male,0,Class 7,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
1511,2,NA,NA,NA,2---,4,87,0,0,1,1,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"10,000-14,999",0,1,0
1512,1,NA,NA,NA,1---,3,31,0,1,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,0,"15,000-19,999",0,0,1
1513,1,NA,NA,NA,1---,1,20,1,0,0,0,male,0,Class 8,0,0,1,0,0,0,1,0,0,0,"5,000-9,999",0,1,0
1514,3,NA,NA,NA,3---,1,23,1,0,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,0,1,0,0,0,"10,000-14,999",0,1,0
1515,1,NA,NA,NA,1---,1,30,0,1,0,0,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,0,"30,000-39,999",0,0,1
1516,2,NA,NA,NA,2---,0,35,0,1,0,0,male,0,No formal education,0,1,0,0,0,0,1,0,0,1,"2500-4,999",1,0,0
1517,2,NA,NA,NA,2---,0,67,0,0,1,1,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"5,000-9,999",0,1,0
