unit,defense,economicdevelopment,socialstability,democracy,corruption,incomeinequality,environment,ranking,treat,historical,powerful,valuable,island,age,income,han,male,eastern,central,rural,college,soe,ccp,socialstatus,news
1808,4,NA,NA,NA,NA,NA,NA,4------,13,1,0,1,1,39,2,1,0,1,0,0,0,0,0,6,2
1809,4,NA,NA,NA,NA,NA,NA,4------,7,1,1,1,0,35,7,1,1,1,0,0,1,1,1,7,4
1810,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,32,3,1,1,0,1,0,0,0,0,6,4
1811,4,NA,NA,NA,NA,NA,NA,4------,4,0,0,1,0,33,3,1,1,1,0,1,0,0,0,6,4
1812,6,NA,NA,NA,NA,NA,NA,6------,2,0,1,0,0,41,1,1,0,1,0,0,1,1,0,5,4
1813,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,32,1,0,0,0,0,0,1,1,1,6,4
1814,7,NA,NA,NA,NA,NA,NA,7------,3,1,1,0,0,32,4,1,0,1,0,0,0,1,0,8,4
1815,2,NA,NA,NA,NA,NA,NA,2------,4,0,0,1,0,32,4,1,1,0,0,0,1,0,0,3,4
1816,1,NA,NA,NA,NA,NA,NA,1------,9,1,0,0,1,37,5,1,1,1,0,0,1,0,0,7,3
1817,7,NA,NA,NA,NA,NA,NA,7------,14,0,1,1,1,30,7,1,1,1,0,0,1,0,0,10,4
1818,3,NA,NA,NA,NA,NA,NA,3------,3,1,1,0,0,56,4,1,1,1,0,0,1,0,0,5,4
1819,3,NA,NA,NA,NA,NA,NA,3------,9,1,0,0,1,38,5,1,1,1,0,0,1,0,0,6,4
1820,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,60,3,1,1,0,1,0,1,1,0,6,3
1821,1,NA,NA,NA,NA,NA,NA,1------,12,0,0,1,1,34,5,1,0,0,1,0,1,1,0,8,3
1822,4,NA,NA,NA,NA,NA,NA,4------,8,0,0,0,1,34,3,1,1,1,0,0,0,0,0,5,3
1823,1,NA,NA,NA,NA,NA,NA,1------,2,0,1,0,0,32,2,1,0,1,0,0,0,0,0,1,3
1824,2,NA,NA,NA,NA,NA,NA,2------,1,1,0,0,0,33,6,1,1,1,0,0,1,1,0,4,4
1825,5,NA,NA,NA,NA,NA,NA,5------,4,0,0,1,0,48,4,1,1,1,0,0,1,1,0,6,4
1826,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,46,5,1,1,1,0,0,1,0,1,3,4
1827,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,33,3,1,1,1,0,0,0,0,0,7,4
1828,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,38,6,1,1,1,0,0,1,1,1,4,3
1829,4,NA,NA,NA,NA,NA,NA,4------,15,1,1,1,1,45,2,1,1,1,0,1,0,0,0,1,3
1830,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,24,NA,1,1,0,0,1,0,0,0,5,4
1831,2,NA,NA,NA,NA,NA,NA,2------,8,0,0,0,1,40,5,1,0,1,0,0,1,0,0,8,3
1832,1,NA,NA,NA,NA,NA,NA,1------,1,1,0,0,0,35,3,1,1,1,0,0,0,1,0,6,3
1833,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,28,2,1,1,1,0,0,1,0,0,7,3
1834,4,NA,NA,NA,NA,NA,NA,4------,13,1,0,1,1,43,3,1,1,1,0,0,0,0,0,2,4
1835,7,NA,NA,NA,NA,NA,NA,7------,5,1,0,1,0,40,7,1,0,1,0,0,1,0,0,5,3
1836,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,44,5,1,0,1,0,0,1,0,0,8,3
1837,3,NA,NA,NA,NA,NA,NA,3------,12,0,0,1,1,21,1,1,0,0,0,0,1,0,0,6,3
1838,6,NA,NA,NA,NA,NA,NA,6------,0,0,0,0,0,43,3,1,1,1,0,0,1,1,1,7,3
1839,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,30,5,1,1,0,1,0,1,0,0,6,4
1840,6,NA,NA,NA,NA,NA,NA,6------,1,1,0,0,0,33,3,1,0,1,0,0,0,0,0,2,4
1841,6,NA,NA,NA,NA,NA,NA,6------,11,1,1,0,1,25,2,1,0,1,0,0,1,0,0,3,3
1842,5,NA,NA,NA,NA,NA,NA,5------,9,1,0,0,1,33,3,1,0,1,0,0,0,0,0,2,4
1843,7,NA,NA,NA,NA,NA,NA,7------,10,0,1,0,1,45,3,1,1,1,0,0,0,1,0,0,4
1844,7,NA,NA,NA,NA,NA,NA,7------,11,1,1,0,1,30,4,1,1,1,0,0,1,0,1,8,4
1845,2,NA,NA,NA,NA,NA,NA,2------,10,0,1,0,1,47,4,1,0,1,0,0,0,0,0,6,4
1846,6,NA,NA,NA,NA,NA,NA,6------,2,0,1,0,0,42,5,1,1,1,0,0,1,1,0,7,4
1847,4,NA,NA,NA,NA,NA,NA,4------,12,0,0,1,1,45,6,1,1,1,0,0,1,1,0,6,4
1848,7,NA,NA,NA,NA,NA,NA,7------,4,0,0,1,0,42,3,1,1,1,0,0,1,1,0,4,4
