unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
306,NA,NA,NA,NA,NA,NA,NA,-------,1,2,1,38,6,6,1
307,4,2,3,1,6,7,5,4231675,3,1,1,65,1,6,1
308,4,5,1,7,3,6,2,4517362,0,1,1,34,7,3,1
309,4,1,3,6,7,2,5,4136725,0,2,1,63,4,4,1
310,1,3,7,6,4,2,5,1376425,1,1,0,52,4,6,1
311,NA,NA,1,NA,NA,NA,NA,--1----,0,1,0,29,3,5,1
312,7,6,1,5,4,2,3,7615423,2,1,1,53,6,4,1
313,NA,NA,NA,NA,NA,NA,NA,-------,0,1,1,28,2,4,1
314,6,5,2,4,3,1,7,6524317,2,2,0,31,5,4,1
315,NA,NA,NA,NA,NA,1,NA,-----1-,1,2,1,42,7,7,1
316,2,3,5,4,6,1,7,2354617,2,1,0,35,3,7,1
317,5,4,3,6,1,2,7,5436127,2,2,1,73,6,5,1
318,1,4,3,2,6,7,5,1432675,1,2,1,18,2,4,1
319,3,4,5,7,1,2,6,3457126,0,2,0,54,5,4,1
320,4,1,3,2,6,7,5,4132675,1,2,1,53,4,4,1
321,1,3,7,6,4,2,5,1376425,3,2,1,37,6,6,1
322,2,3,7,6,4,1,5,2376415,3,1,1,54,3,2,1
323,NA,NA,NA,NA,NA,NA,NA,-------,3,1,1,33,3,2,1
324,2,3,7,6,4,1,5,2376415,0,2,1,20,1,3,1
325,4,1,7,2,3,6,5,4172365,3,1,0,30,3,4,1
326,6,2,7,5,4,1,3,6275413,2,1,1,55,3,5,1
327,2,1,4,7,5,3,6,2147536,1,1,1,36,4,5,1
328,4,3,2,7,6,1,5,4327615,3,2,1,24,4,3,1
329,3,1,7,6,5,2,4,3176524,3,2,0,54,4,1,1
330,4,3,7,2,5,1,6,4372516,2,1,1,59,9,6,1
331,6,2,7,3,5,1,4,6273514,2,2,0,64,3,6,1
332,NA,NA,NA,NA,NA,NA,NA,-------,2,2,1,23,3,2,1
333,7,4,1,3,6,2,5,7413625,2,1,1,25,4,4,1
334,7,2,1,6,4,3,5,7216435,0,1,0,27,3,5,1
335,1,4,7,5,3,2,6,1475326,2,1,0,37,3,5,1
336,3,2,7,6,4,1,5,3276415,1,1,1,41,3,4,1
337,NA,NA,NA,NA,NA,NA,NA,-------,3,2,0,46,3,4,1
338,2,3,4,5,6,1,7,2345617,3,2,1,63,1,2,1
339,2,3,5,7,4,1,6,2357416,0,2,1,42,6,7,1
340,1,5,7,6,3,2,4,1576324,0,1,1,50,3,6,1
341,2,5,7,6,4,1,3,2576413,1,1,1,61,6,6,1
342,3,6,1,5,4,2,7,3615427,2,1,1,35,4,5,1
343,2,3,7,4,6,1,5,2374615,3,2,1,25,4,6,1
344,5,4,7,3,2,1,6,5473216,2,1,0,41,9,6,1
345,4,1,2,3,7,5,6,4123756,1,1,0,52,1,4,1
346,2,5,7,6,4,1,3,2576413,1,2,1,60,3,6,1
347,3,1,7,6,4,5,2,3176452,3,2,1,30,3,5,1
348,1,2,7,4,5,3,6,1274536,3,1,0,46,6,4,1
349,1,3,2,7,5,4,6,1327546,0,1,0,64,4,4,1
350,2,1,4,3,6,7,5,2143675,1,1,0,18,2,5,1
351,6,5,1,3,7,4,2,6513742,2,1,0,30,4,4,1
352,3,1,4,2,5,7,6,3142576,3,1,0,52,4,6,1
