unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohafaza,caza,q5,q6,q7,q8,q9,q10,q11,q13,q14a,q14b,q15b,q16,q17,q18,q19a,q19b,q19c,q19d,q21,q22,q23a,q23b,q23c,q23d,q36a,q36b,q36c,q36d,q37a,q37b,q37c,q37d,q38a,q38b,q38c,q38d,q39a,q39b,q39c,q39d,q40,q41,q42,q43
1118,NA,1,NA,NA,NA,2,-1---2,2,3,12,0,23,2,7,2,3,1,7,12,2011,1,1,1,1,1,1,2,4,4,1,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
1119,NA,1,NA,NA,NA,2,-1---2,3,3,12,1,49,3,9,3,5,1,11,3,2012,1,1,5,3,1,1,4,4,4,5,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
1120,NA,1,NA,NA,NA,2,-1---2,3,2,8,0,40,2,7,2,4,1,7,4,2012,1,1,5,1,2,1,1,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
1121,NA,1,NA,NA,NA,NA,-1----,1,2,8,1,20,2,5,1,4,1,7,6,2013,1,1,5,4,4,-98,4,4,4,1,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,0,NA,NA,NA,NA
1122,NA,1,NA,NA,NA,2,-1---2,0,2,8,1,21,2,2,1,3,1,7,2,2014,1,1,3,3,1,1,3,4,4,1,2,3,2,2,1,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1123,NA,1,NA,NA,NA,NA,-1----,2,2,8,1,35,2,10,3,7,1,6,9,2014,1,1,5,5,2,2,2,4,4,1,2,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA
1124,NA,1,NA,NA,NA,NA,-1----,3,2,8,1,20,2,9,4,3,1,7,6,2013,1,1,5,3,3,3,4,4,4,1,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
1125,NA,1,NA,NA,NA,NA,-1----,3,3,10,0,24,5,7,2,1,1,13,7,2011,1,1,4,3,1,2,2,2,2,2,2,2,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
1126,NA,1,NA,NA,NA,2,-1---2,2,4,20,0,47,3,7,2,6,1,14,7,2014,1,1,5,2,2,1,1,4,3,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
1127,1,NA,NA,NA,NA,NA,1-----,2,3,10,1,21,2,9,2,8,1,11,4,2012,1,1,1,1,1,1,2,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
1128,NA,1,NA,NA,NA,NA,-1----,3,3,10,1,29,2,2,1,4,1,11,4,2014,1,1,4,3,3,3,4,4,4,1,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
1129,1,NA,NA,NA,NA,NA,1-----,1,3,10,1,27,4,4,1,5,1,1,10,2015,1,1,4,3,4,4,4,4,3,2,-98,-98,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
1130,NA,NA,1,NA,NA,NA,--1---,3,3,10,1,45,6,6,4,4,1,5,8,2015,1,1,5,5,4,4,4,4,2,5,-98,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
1131,1,NA,NA,NA,NA,NA,1-----,1,3,10,0,19,3,6,1,2,1,13,5,2016,1,1,5,5,1,2,3,4,4,1,-98,2,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
1132,1,NA,NA,NA,NA,NA,1-----,2,3,10,0,43,2,5,2,5,1,4,2,2016,1,1,5,5,2,3,4,4,4,1,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
1133,1,NA,NA,NA,NA,NA,1-----,3,3,10,1,61,3,4,1,2,1,4,5,2014,1,1,5,5,4,4,4,4,2,4,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
1134,NA,1,NA,NA,NA,2,-1---2,1,3,10,0,22,3,6,2,4,1,4,5,2016,1,1,3,2,1,2,3,4,4,1,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,0,NA,NA,NA,NA
1135,NA,1,NA,NA,NA,NA,-1----,1,2,4,1,49,2,9,2,7,1,10,8,2011,1,1,5,3,4,4,4,4,3,4,2,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,0,NA,NA,NA,NA
1136,NA,1,NA,NA,NA,NA,-1----,1,3,10,0,45,2,5,3,6,1,10,12,2011,1,1,5,3,4,3,4,4,3,4,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,0,NA,NA,NA,NA
1137,NA,1,NA,NA,NA,NA,-1----,3,3,10,0,23,4,10,2,3,1,14,10,2016,1,1,5,3,4,4,4,4,3,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
1138,NA,1,NA,NA,2,NA,-1--2-,1,3,10,1,41,1,11,2,10,2,11,2,2012,3,1,5,3,3,3,4,4,4,2,-98,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,NA,NA,NA,NA
1139,NA,1,NA,NA,NA,NA,-1----,1,3,10,1,32,1,8,2,5,1,11,3,2014,1,1,5,3,3,3,4,4,4,1,-98,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,0,NA,NA,NA,NA
1140,1,NA,NA,NA,NA,NA,1-----,0,3,10,0,19,3,11,3,10,2,11,10,2013,1,1,1,1,1,1,3,4,3,1,2,3,-98,-98,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1141,NA,1,NA,NA,NA,NA,-1----,3,3,10,0,24,4,14,3,6,1,7,6,2013,1,1,5,4,2,3,4,4,4,1,2,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
1142,NA,1,NA,NA,NA,2,-1---2,1,3,10,0,42,3,13,3,7,1,11,6,2013,1,1,5,3,3,3,3,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,0,NA,NA,NA,NA
1143,1,NA,NA,NA,NA,NA,1-----,2,3,10,1,22,3,3,2,4,1,4,7,2011,1,1,5,4,4,4,4,4,4,1,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1144,NA,1,NA,NA,NA,2,-1---2,2,3,10,0,20,3,9,3,4,3,11,1,2013,1,1,5,2,3,1,1,4,3,4,2,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
1145,NA,1,NA,NA,NA,NA,-1----,1,3,10,0,49,2,8,3,6,1,10,2,2012,1,1,5,1,4,1,4,4,4,5,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,1,NA,NA,NA,NA
1146,NA,1,NA,NA,NA,NA,-1----,3,3,10,0,35,3,6,2,6,1,10,4,2013,1,1,5,3,3,1,4,4,4,5,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
1147,NA,1,NA,NA,NA,NA,-1----,3,3,10,0,19,2,6,3,3,1,14,10,2015,1,1,5,3,3,3,4,4,4,5,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
1148,NA,1,NA,NA,NA,2,-1---2,1,3,10,1,25,1,9,3,4,2,14,5,2016,1,1,5,1,1,1,4,4,4,5,-98,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,-99,NA,NA,NA,NA
