unit,clark,officers,hahn,steinberg,schubert,brown,senators,ranking,treat,county,partyid,race,ideo_rating,education,work_for_law
124,7,6,5,4,3,1,2,7654312,2,riverside,1,1,4,2,0
125,7,6,5,3,4,2,1,7653421,1,sacramento,2,1,2,3,0
126,6,7,5,4,2,3,1,6754231,2,sacramento,2,3,1,4,0
127,1,7,6,5,4,2,3,1765423,0,los angeles,2,2,NA,3,0
128,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,2,1,NA,2,0
129,5,6,3,7,4,2,1,5637421,1,orange,NA,NA,NA,NA,NA
130,5,7,6,3,4,2,1,5763421,0,sacramento,2,1,3,3,0
131,7,6,5,1,4,3,2,7651432,1,sacramento,3,1,4,5,0
132,2,7,5,3,1,4,6,2753146,2,riverside,1,1,6,3,0
133,5,6,7,3,4,1,2,5673412,2,los angeles,3,1,4,3,0
134,1,7,2,5,3,4,6,1725346,2,los angeles,3,1,NA,2,0
135,6,7,5,4,2,3,1,6754231,1,sacramento,NA,NA,NA,NA,0
136,7,6,5,3,4,2,1,7653421,2,sacramento,2,4,4,5,0
137,7,2,5,1,6,3,4,7251634,2,orange,1,3,5,2,0
138,1,7,5,6,2,4,3,1756243,1,sacramento,4,1,1,3,0
139,1,2,4,5,6,7,3,1245673,1,los angeles,1,1,7,4,0
140,4,7,6,5,3,1,2,4765312,1,sacramento,2,1,2,5,0
141,7,1,6,5,2,4,3,7165243,2,riverside,2,1,NA,3,0
142,6,7,5,4,3,2,1,6754321,2,orange,4,4,NA,3,0
143,6,7,3,4,2,5,1,6734251,2,riverside,NA,NA,NA,NA,NA
144,1,7,6,3,2,5,4,1763254,0,riverside,3,1,NA,3,0
145,NA,NA,NA,NA,NA,NA,NA,-------,1,riverside,NA,NA,NA,NA,NA
146,6,7,5,3,4,2,1,6753421,0,sacramento,2,4,2,5,0
147,1,7,6,4,3,2,5,1764325,1,los angeles,2,3,2,3,0
148,7,4,6,5,3,2,1,7465321,2,riverside,2,2,5,2,0
149,7,6,5,4,3,2,1,7654321,2,sacramento,2,1,3,3,1
150,1,4,6,3,5,7,2,1463572,0,riverside,3,4,NA,3,0
151,6,7,3,5,1,4,2,6735142,0,sacramento,3,1,NA,3,0
152,4,7,6,5,2,3,1,4765231,0,orange,3,4,4,3,0
153,1,7,6,4,5,2,3,1764523,1,riverside,NA,NA,NA,NA,NA
154,7,6,5,3,4,1,2,7653412,1,sacramento,3,1,NA,3,0
155,6,7,5,3,4,2,1,6753421,1,sacramento,2,1,2,5,0
156,7,6,5,3,4,1,2,7653412,1,sacramento,3,1,4,3,0
157,1,7,5,4,6,3,2,1754632,2,sacramento,2,1,2,4,0
158,2,7,6,3,5,4,1,2763541,0,sacramento,1,1,2,2,0
159,6,7,5,1,2,4,3,6751243,0,sacramento,2,1,1,4,0
160,7,6,5,3,4,2,1,7653421,2,sacramento,2,1,3,2,0
161,7,6,5,3,4,2,1,7653421,2,sacramento,2,1,5,3,0
162,4,7,6,5,1,3,2,4765132,0,riverside,2,3,3,3,0
163,7,6,5,4,1,3,2,7654132,0,sacramento,1,1,5,5,1
164,5,2,3,1,4,6,7,5231467,2,orange,4,1,NA,4,1
165,5,4,1,2,3,6,7,5412367,0,riverside,1,1,4,3,1
166,NA,NA,NA,NA,NA,NA,NA,-------,2,sacramento,NA,NA,NA,NA,NA
167,NA,NA,NA,NA,NA,NA,NA,-------,0,orange,4,4,NA,5,0
168,6,7,5,2,4,1,3,6752413,0,riverside,1,4,NA,3,0
169,7,6,3,5,4,1,2,7635412,2,sacramento,2,4,3,4,1
170,2,7,6,4,3,5,1,2764351,0,riverside,2,1,1,2,0
171,7,6,5,3,4,1,2,7653412,1,orange,2,4,5,5,0
172,7,6,2,4,5,3,1,7624531,1,riverside,1,1,2,3,1
173,7,6,5,2,4,1,3,7652413,0,sacramento,1,1,6,4,1
174,7,6,5,1,2,3,4,7651234,2,los angeles,1,1,7,3,0
175,6,7,5,3,4,2,1,6753421,2,sacramento,2,4,NA,3,0
176,6,7,5,3,4,2,1,6753421,0,sacramento,2,1,2,4,0
177,7,5,6,4,3,2,1,7564321,1,sacramento,1,1,4,5,0
178,7,1,5,2,6,4,3,7152643,1,orange,1,1,5,2,0
179,5,7,4,3,6,1,2,5743612,0,los angeles,2,3,6,3,0
180,1,7,6,5,4,2,3,1765423,2,los angeles,3,2,3,4,0
181,1,7,6,4,5,3,2,1764532,2,riverside,3,2,3,3,0
182,7,6,5,4,3,1,2,7654312,0,orange,1,1,7,4,0
183,NA,NA,NA,NA,NA,NA,NA,-------,0,los angeles,NA,NA,NA,NA,NA
184,7,1,3,6,5,2,4,7136524,2,riverside,4,1,4,3,0
185,7,6,2,5,1,3,4,7625134,2,orange,1,5,4,4,0
186,NA,NA,NA,NA,NA,NA,NA,-------,2,sacramento,NA,NA,NA,NA,NA
187,1,7,6,5,4,2,3,1765423,2,los angeles,2,3,4,2,1
188,7,6,5,3,4,2,1,7653421,2,riverside,1,1,6,4,1
189,4,7,6,3,1,5,2,4763152,0,orange,2,1,7,4,0
190,7,6,5,4,2,1,3,7654213,0,sacramento,4,1,NA,3,0
191,6,7,1,4,3,5,2,6714352,2,riverside,2,2,NA,3,0
192,2,6,3,7,4,5,1,2637451,0,los angeles,1,1,1,4,0
193,NA,NA,NA,NA,NA,NA,NA,-------,0,los angeles,NA,NA,NA,NA,NA
194,1,7,6,3,5,4,2,1763542,2,sacramento,1,3,4,2,0
195,7,1,2,3,4,5,6,7123456,2,sacramento,1,3,3,1,0
196,1,7,6,4,3,5,2,1764352,2,sacramento,2,2,NA,4,1
197,1,7,6,3,5,4,2,1763542,0,sacramento,2,2,2,3,0
198,NA,NA,NA,NA,NA,NA,NA,-------,2,sacramento,NA,NA,NA,NA,NA
199,3,7,2,1,5,6,4,3721564,2,sacramento,2,3,3,3,0
200,1,7,6,3,4,5,2,1763452,2,sacramento,2,5,6,3,0
201,NA,NA,NA,NA,NA,NA,NA,-------,1,sacramento,NA,NA,NA,NA,NA
202,3,7,6,4,5,2,1,3764521,0,los angeles,2,2,4,4,0
203,7,6,5,1,4,3,2,7651432,2,sacramento,3,1,4,3,1
204,1,6,5,2,4,7,3,1652473,1,riverside,2,2,1,2,0
205,7,6,4,2,5,1,3,7642513,1,los angeles,3,3,4,1,0
206,7,4,3,1,5,6,2,7431562,0,riverside,NA,NA,NA,NA,NA
207,7,6,5,3,4,2,1,7653421,1,sacramento,2,4,3,4,0
208,7,6,5,2,3,4,1,7652341,2,orange,2,1,2,5,0
