unit,tribe,nationality,religion,gender,ranking,treat,age,female,completed_elementary,completed_hs,catholic,evangelical
556,2,1,3,4,2134,0,56,1,1,0,0,1
557,1,3,2,4,1324,1,47,1,1,0,0,0
558,3,1,2,4,3124,1,45,0,0,0,0,0
559,1,3,2,4,1324,1,39,1,1,1,0,0
560,1,2,4,3,1243,0,29,1,1,0,0,1
561,3,1,2,4,3124,0,23,1,1,0,0,1
562,1,3,2,4,1324,1,34,1,0,0,0,1
563,3,2,1,4,3214,1,49,1,1,1,0,1
564,1,4,2,3,1423,0,58,0,0,0,0,1
565,2,4,1,3,2413,1,38,1,0,0,0,0
566,1,4,2,3,1423,0,29,1,0,0,0,1
567,1,4,2,3,1423,0,27,1,1,0,1,0
568,1,3,2,4,1324,1,71,0,0,0,0,0
569,2,3,1,4,2314,1,62,1,0,0,0,0
570,3,2,1,4,3214,0,32,0,1,0,0,0
571,2,1,3,4,2134,1,30,0,1,1,0,0
572,1,2,3,4,1234,0,45,1,1,0,0,0
573,1,2,3,4,1234,0,22,0,1,0,1,0
574,2,1,3,4,2134,1,48,0,0,0,0,0
575,2,3,4,1,2341,0,45,0,0,0,0,0
576,1,2,3,4,1234,0,43,0,0,0,0,0
577,3,1,4,2,3142,0,53,0,0,0,1,0
578,1,2,3,4,1234,1,36,0,0,0,0,0
579,1,3,2,4,1324,1,66,1,0,0,0,1
580,4,2,1,3,4213,1,47,0,1,0,0,1
581,4,2,1,3,4213,1,42,0,0,0,0,1
582,3,2,1,4,3214,1,37,1,1,0,0,1
583,2,1,3,4,2134,1,51,1,0,0,0,1
584,2,1,3,4,2134,1,47,1,1,0,0,1
585,1,2,3,4,1234,1,63,0,0,0,0,1
586,1,3,2,4,1324,1,45,0,0,0,0,1
587,1,4,3,2,1432,1,37,1,1,0,0,1
588,3,4,1,2,3412,1,84,0,0,0,0,1
589,1,4,2,3,1423,1,26,1,0,0,0,0
590,4,2,1,3,4213,1,59,0,1,0,0,0
591,3,4,1,2,3412,1,41,0,1,1,0,0
592,3,2,1,4,3214,1,42,1,1,0,0,0
593,3,2,1,4,3214,0,62,0,0,0,0,0
594,2,1,3,4,2134,1,45,0,0,0,0,0
595,2,1,3,4,2134,0,44,0,1,1,0,0
596,2,3,1,4,2314,0,44,1,0,0,0,0
597,3,2,1,4,3214,1,59,0,1,1,0,0
598,2,4,1,3,2413,1,48,1,0,0,0,0
599,1,4,2,3,1423,1,24,0,1,0,0,0
600,3,1,2,4,3124,0,26,1,1,0,0,0
601,3,2,1,4,3214,1,39,1,0,0,0,1
602,1,2,4,3,1243,1,42,1,0,0,0,0
603,4,2,1,3,4213,1,64,0,1,0,0,1
604,1,3,2,4,1324,1,42,1,0,0,0,1
605,3,2,1,4,3214,1,35,0,1,1,0,1
606,1,3,2,4,1324,1,55,0,0,0,0,1
607,2,3,1,4,2314,1,36,0,0,0,0,1
608,2,3,1,4,2314,0,29,0,0,0,0,0
609,4,2,1,3,4213,0,42,0,1,0,0,0
610,1,2,4,3,1243,1,46,0,1,0,0,0
611,1,4,2,3,1423,0,27,1,1,0,0,1
612,2,1,3,4,2134,0,32,0,0,0,1,0
613,3,2,1,4,3214,1,53,1,0,0,0,0
614,3,4,1,2,3412,1,29,1,1,0,0,0
615,3,2,1,4,3214,1,30,1,1,1,1,0
616,1,2,4,3,1243,1,54,0,0,0,0,0
617,1,2,3,4,1234,1,45,1,0,0,0,0
618,2,3,1,4,2314,1,38,1,0,0,0,0
619,3,1,2,4,3124,1,68,0,0,0,0,0
620,4,3,1,2,4312,0,54,0,1,0,0,0
621,1,3,2,4,1324,1,36,1,0,0,0,0
622,1,2,3,4,1234,1,22,1,1,0,0,1
623,1,3,2,4,1324,1,74,0,0,0,0,1
624,3,2,1,4,3214,0,24,0,1,0,0,0
625,1,3,2,4,1324,1,32,1,0,0,0,1
626,2,3,1,4,2314,0,45,0,0,0,0,1
627,3,2,1,4,3214,0,34,0,1,0,0,1
628,3,1,2,4,3124,1,43,0,0,0,0,0
629,2,1,4,3,2143,1,30,1,1,1,0,0
630,2,3,1,4,2314,0,35,1,1,1,0,1
631,3,1,4,2,3142,0,41,1,1,1,0,0
632,1,3,4,2,1342,0,52,0,0,0,1,0
633,1,2,3,4,1234,0,24,1,0,0,0,0
634,4,2,1,3,4213,1,63,0,1,0,0,1
635,3,1,2,4,3124,0,74,0,0,0,0,0
636,2,1,3,4,2134,1,22,1,1,0,0,0
637,2,1,4,3,2143,0,65,0,0,0,0,0
638,3,1,4,2,3142,1,75,1,1,0,1,0
639,3,1,2,4,3124,1,30,1,0,0,0,0
640,4,1,2,3,4123,1,36,0,0,0,1,0
641,1,3,2,4,1324,0,38,1,0,0,0,0
642,3,2,1,4,3214,1,60,1,0,0,0,0
643,2,4,1,3,2413,1,30,1,0,0,0,0
644,4,1,3,2,4132,1,27,1,0,0,0,0
645,2,3,1,4,2314,1,57,1,0,0,0,0
646,3,2,1,4,3214,1,37,1,1,1,1,0
647,3,1,2,4,3124,1,40,1,0,0,0,0
648,4,3,2,1,4321,1,29,0,0,0,1,0
649,4,3,1,2,4312,1,28,0,1,0,1,0
650,3,1,2,4,3124,1,63,0,0,0,1,0
651,2,3,1,4,2314,1,24,1,0,0,0,0
652,1,3,2,4,1324,0,23,1,1,0,0,0
653,2,4,1,3,2413,1,30,1,0,0,0,0
654,2,3,1,4,2314,1,33,1,0,0,0,0
655,3,4,1,2,3412,0,22,1,1,0,0,0
656,3,1,2,4,3124,1,21,1,1,0,0,0
657,3,2,1,4,3214,1,40,1,0,0,0,0
658,2,3,1,4,2314,1,32,1,0,0,0,0
659,2,3,1,4,2314,1,72,0,0,0,0,0
660,2,4,1,3,2413,1,33,1,0,0,0,0
661,1,3,2,4,1324,1,38,1,0,0,0,0
662,2,4,1,3,2413,0,35,1,0,0,0,0
663,1,3,2,4,1324,1,58,0,0,0,0,0
664,4,3,2,1,4321,0,56,0,0,0,0,0
665,1,4,3,2,1432,1,31,1,1,0,0,0
666,1,3,2,4,1324,1,34,1,0,0,1,0
667,3,1,2,4,3124,1,41,0,0,0,0,0
668,2,3,1,4,2314,1,31,1,0,0,0,0
669,3,4,1,2,3412,1,43,1,0,0,1,0
670,1,3,2,4,1324,1,40,0,0,0,0,0
671,2,1,4,3,2143,1,64,0,0,0,1,0
672,1,3,4,2,1342,1,44,1,0,0,0,0
