unit,indian,kashmiri,religion,occupation,ranking,treat,age,age_18_27,age_28_49,age_50_over,median_age,gender,gender_female,education,education_class12,education_cat_none,education_cat_class6,education_cat_class12,education_cat_ba,religion_sunni,religion_shia,religion_sikh,religion_hindu,main_earner,monthly_hhincome,hhincome_cat_not_5000,hhincome_cat_5000_15000,hhincome_cat_15000_more
314,1,NA,NA,NA,1---,0,46,0,1,0,1,female,1,Class 11,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
315,2,NA,NA,NA,2---,0,28,0,1,0,0,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,0,0,0,1,0,"10,000-14,999",0,1,0
316,2,NA,NA,NA,2---,1,30,0,1,0,0,female,1,Class 6,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
317,1,NA,NA,NA,1---,1,44,0,1,0,1,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,1,"20,000-29,999",0,0,1
318,2,NA,NA,NA,2---,0,40,0,1,0,1,male,0,Class 12,1,0,0,1,0,1,0,0,0,1,"2500-4,999",1,0,0
319,2,NA,NA,NA,2---,0,50,0,0,1,1,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
320,1,NA,NA,NA,1---,0,30,0,1,0,0,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
321,2,NA,NA,NA,2---,0,45,0,1,0,1,male,0,Class 11,0,0,1,0,0,1,0,0,0,1,"10,000-14,999",0,1,0
322,1,NA,NA,NA,1---,0,27,1,0,0,0,female,1,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,0,"5,000-9,999",0,1,0
323,1,NA,NA,NA,1---,1,37,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
324,1,NA,NA,NA,1---,1,30,0,1,0,0,male,0,Class 6,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
325,1,NA,NA,NA,1---,0,32,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
326,1,NA,NA,NA,1---,1,40,0,1,0,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
327,1,NA,NA,NA,1---,1,54,0,0,1,1,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
328,1,NA,NA,NA,1---,0,36,0,1,0,1,female,1,Class 11,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
329,2,NA,NA,NA,2---,1,75,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
330,1,NA,NA,NA,1---,0,22,1,0,0,0,male,0,Class 12,1,0,0,1,0,1,0,0,0,1,"5,000-9,999",0,1,0
331,1,NA,NA,NA,1---,1,21,1,0,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"5,000-9,999",0,1,0
332,1,NA,NA,NA,1---,0,21,1,0,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"0-2,499",1,0,0
333,1,NA,NA,NA,1---,1,62,0,0,1,1,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
334,1,NA,NA,NA,1---,0,39,0,1,0,1,male,0,Class 11,0,0,1,0,0,1,0,0,0,1,"10,000-14,999",0,1,0
335,1,NA,NA,NA,1---,0,69,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
336,2,NA,NA,NA,2---,0,49,0,1,0,1,male,0,Class 5,0,0,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
337,3,NA,NA,NA,3---,0,40,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
338,2,NA,NA,NA,2---,0,30,0,1,0,0,female,1,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,0,"20,000-29,999",0,0,1
339,1,NA,NA,NA,1---,0,26,1,0,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,0,"2500-4,999",1,0,0
340,2,NA,NA,NA,2---,0,24,1,0,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
341,1,NA,NA,NA,1---,1,30,0,1,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,0,"10,000-14,999",0,1,0
342,1,NA,NA,NA,1---,1,27,1,0,0,0,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"20,000-29,999",0,0,1
343,1,NA,NA,NA,1---,1,50,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
344,1,NA,NA,NA,1---,0,27,1,0,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
345,1,NA,NA,NA,1---,1,23,1,0,0,0,male,0,Class 12,1,0,0,1,0,1,0,0,0,1,"2500-4,999",1,0,0
